hospital_name,doctor_name,total_revenue,doctor_rank
"Abbott and Thompson, Sullivan","Angela Hernandez",16738.57,1
"Abbott Inc","Brandi Lucas",38052.04,1
"Abbott Ltd","Jessica Arnold",29877.59,1
"Abbott Moore and Williams,","Jordan Black",24799.60,1
Abbott-Castillo,"Brian Roberts",18397.74,1
Abbott-Coleman,"Jake Patel",19752.00,1
Abbott-Ferrell,"Amy Murray",99.93,1
Abbott-Hill,"Erin Garcia",13260.14,1
Abbott-Jones,"David Spencer",49039.71,1
Abbott-Martin,"George Gonzalez",48968.88,1
Abbott-Martin,"Pamela Lawrence",41462.35,2
Abbott-Rios,"Eduardo James",35798.35,1
Abbott-Wilson,"Paul Walls",23968.51,1
"Abbott, Peters and Hoffman","Kelsey Logan",37684.80,1
"Abbott, Vazquez Bautista and","Jason Williams",14117.14,1
"Acevedo and Ellis, Snyder","Cassandra Hubbard",33490.60,1
"Acevedo and Hart, Hernandez","Steven Blanchard",14296.22,1
"Acevedo and Howard Burke,","Sydney Rodriguez",31015.27,1
"Acevedo and Larson Andrews,","Michelle Gardner",34339.76,1
"Acevedo and Lewis Barker,","Lauren Garza",4867.31,1
"Acevedo Group","Sara Wagner",25420.54,1
"Acevedo Holmes and Rangel,","Joan Villegas",50150.17,1
"Acevedo LLC","Megan Dixon",23600.50,1
"Acevedo Ltd","Angel Erickson",63787.56,1
"Acevedo Ltd","Rose Silva",34196.73,2
"Acevedo Phillips Steele, and","Jennifer Peters",12363.78,1
"Acevedo PLC","Jill Williams",50050.46,1
"Acevedo PLC","Brittany Velasquez",18742.65,2
Acevedo-Diaz,"Alicia Hall",21431.17,1
Acevedo-Goodwin,"Dr. Spencer Cobb",5900.38,1
Acevedo-Henderson,"John Fernandez",13030.31,1
Acevedo-Lawson,"Joshua Brown",30895.51,1
"Acevedo, Jordan and Diaz","Daniel Harris",23316.69,1
"Acevedo, Martin and Price","James Sullivan",44587.35,1
"Acevedo, Riddle Payne and","Patricia Garcia",22252.00,1
"Acosta and Tapia Evans,","Lauren Carlson",36093.25,1
"Acosta Group","Andrea Gonzales",80961.44,1
"Acosta Group","Ellen Brown",37941.38,2
"Acosta Inc","Christopher Knapp",37086.78,1
"Acosta Inc","Jonathon Brewer",4685.83,2
"Acosta LLC","James Miranda",36088.22,1
"Acosta Ltd","Lindsay Payne",34167.45,1
"Acosta Ltd","Yolanda Simmons",33496.58,2
